          Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec
   1      1.21   1.28   1.34   1.46   1.64   1.67   1.55   1.55   1.47   1.32   1.24   1.20
   2      3.88   4.12   4.49   5.22   6.09   6.32   5.63   5.44   5.14   4.54   4.04   3.84
   3      7.77   8.26   9.07  10.40  11.75  12.09  11.07  10.76  10.31   9.35   8.27   7.72
   4     12.71  13.41  14.57  16.18  17.61  17.93  16.90  16.75  16.31  15.19  13.75  12.72
   5     18.40  19.17  20.50  22.09  23.39  23.59  22.66  22.91  22.63  21.49  19.99  18.53
   6     24.31  25.07  26.38  27.79  28.84  28.87  28.07  28.80  28.80  27.72  26.38  24.59
   7     30.44  31.11  32.30  33.41  34.14  34.00  33.33  34.55  34.94  33.99  32.86  30.88
   8     36.66  37.18  38.17  38.93  39.30  38.97  38.46  40.16  40.99  40.20  39.29  37.23
   9     42.91  43.28  44.00  44.37  44.36  43.83  43.49  45.65  46.95  46.35  45.63  43.60
  10     49.12  49.31  49.71  49.68  49.28  48.56  48.39  51.00  52.78  52.38  51.81  49.86
  11     55.05  55.08  55.15  54.74  54.01  53.11  53.08  56.11  58.32  58.13  57.63  55.80
  12     61.13  61.00  60.72  59.91  58.84  57.76  57.87  61.31  63.98  64.01  63.56  61.85
  13     66.94  66.68  66.05  64.91  63.54  62.31  62.52  66.32  69.39  69.63  69.19  67.58
  14     72.73  72.34  71.36  69.89  68.26  66.89  67.16  71.31  74.76  75.23  74.77  73.24
  15     78.35  77.86  76.54  74.78  72.92  71.42  71.73  76.17  79.99  80.69  80.19  78.72
  16     83.94  83.35  81.68  79.67  77.61  75.98  76.31  81.03  85.20  86.12  85.58  84.13
  17     89.15  88.48  86.50  84.31  82.10  80.39  80.70  85.65  90.12  91.24  90.63  89.16
  18     94.68  93.92  91.61  89.22  86.86  85.05  85.35  90.54  95.32  96.67  95.98  94.49
  19     99.38  98.58  96.02  93.56  91.14  89.28  89.54  94.86  99.87 101.38 100.61  99.04
  20    104.30 103.45 100.62  98.10  95.62  93.70  93.91  99.38 104.61 106.30 105.45 103.79
  21    109.26 108.35 105.26 102.68 100.16  98.20  98.36 103.95 109.41 111.28 110.34 108.57
  22    113.53 112.58 109.31 106.75 104.25 102.27 102.38 108.04 113.65 115.66 114.64 112.74
  23    117.98 116.98 113.51 110.97 108.50 106.52 106.57 112.30 118.06 120.21 119.10 117.06
  24    122.59 121.54 117.88 115.37 112.92 110.94 110.93 116.72 122.64 124.94 123.74 121.54
  25    126.33 125.21 121.43 119.00 116.65 114.71 114.68 120.50 126.52 128.91 127.61 125.23
  26    130.15 128.96 125.06 122.72 120.47 118.59 118.54 124.39 130.50 132.97 131.58 129.01
  27    134.08 132.82 128.80 126.56 124.42 122.60 122.52 128.40 134.61 137.17 135.67 132.90
  28    137.90 136.56 132.43 130.30 128.29 126.55 126.46 132.36 138.65 141.28 139.67 136.69
  29    141.12 139.68 135.50 133.49 131.65 130.03 129.96 135.88 142.21 144.86 143.13 139.93
  30    144.41 142.87 138.65 136.76 135.09 133.60 133.56 139.50 145.86 148.53 146.68 143.26
  31    147.78 146.13 141.86 140.11 138.63 137.28 137.27 143.21 149.61 152.29 150.32 146.67
  32    151.22 149.47 145.15 143.54 142.26 141.05 141.07 147.02 153.45 156.15 154.05 150.15
